time,value
2022-08-16 18:53:45,61.0
2022-08-16 18:54:45,58.0
2022-08-16 18:55:45,49.0
2022-08-16 18:56:45,53.0
2022-08-16 18:57:44,68.0
2022-08-16 18:58:45,59.0
2022-08-16 18:59:45,60.0
2022-08-16 19:00:45,51.0
2022-08-16 19:01:45,54.0
2022-08-16 19:02:45,56.0
2022-08-16 19:03:45,72.0
2022-08-16 19:04:45,60.0
2022-08-16 19:05:45,65.0
2022-08-16 19:06:45,60.0
2022-08-16 19:07:45,46.0
2022-08-16 19:08:45,54.0
2022-08-16 19:09:45,52.0
2022-08-16 19:10:45,49.0
2022-08-16 19:11:45,49.0
2022-08-16 19:12:45,53.0
2022-08-16 19:13:45,51.0
2022-08-16 19:14:45,53.0
2022-08-16 19:15:45,41.0
2022-08-16 19:16:44,50.0
2022-08-16 19:17:44,64.0
2022-08-16 19:18:45,66.0
2022-08-16 19:19:44,53.0
2022-08-16 19:20:45,36.0
2022-08-16 19:21:45,44.0
2022-08-16 19:22:45,38.0
2022-08-16 19:23:45,56.0
2022-08-16 19:24:44,53.0
2022-08-16 19:25:45,58.0
2022-08-16 19:26:45,40.0
2022-08-16 19:27:44,46.0
2022-08-16 19:28:45,62.0
2022-08-16 19:29:45,41.0
2022-08-16 19:30:45,46.0
2022-08-16 19:31:44,62.0
2022-08-16 19:32:45,56.0
2022-08-16 19:33:45,71.0
2022-08-16 19:34:45,44.0
2022-08-16 19:35:45,51.0
2022-08-16 19:36:44,56.0
2022-08-16 19:37:45,48.0
2022-08-16 19:38:45,50.0
2022-08-16 19:39:45,54.0
2022-08-16 19:40:45,55.0
2022-08-16 19:41:44,55.0
2022-08-16 19:42:45,63.0
2022-08-16 19:43:45,48.0
2022-08-16 19:44:45,46.0
2022-08-16 19:45:45,48.0
2022-08-16 19:46:44,61.0
2022-08-16 19:47:44,61.0
2022-08-16 19:48:45,51.0
2022-08-16 19:49:45,54.0
2022-08-16 19:50:45,51.0
2022-08-16 19:51:45,63.0
2022-08-16 19:52:45,53.0
2022-08-16 19:53:45,57.0
2022-08-16 19:54:44,56.0
2022-08-16 19:55:45,65.0
2022-08-16 19:56:45,58.0
2022-08-16 19:57:45,52.0
2022-08-16 19:58:45,55.0
2022-08-16 19:59:45,49.0
2022-08-16 20:00:45,57.0
2022-08-16 20:01:44,64.0
2022-08-16 20:02:45,54.0
2022-08-16 20:03:45,46.0
2022-08-16 20:04:45,74.0
2022-08-16 20:05:45,56.0
2022-08-16 20:06:44,55.0
2022-08-16 20:07:45,47.0
2022-08-16 20:08:45,47.0
2022-08-16 20:09:45,60.0
2022-08-16 20:10:45,53.0
2022-08-16 20:11:45,57.0
2022-08-16 20:12:45,48.0
2022-08-16 20:13:45,74.0
2022-08-16 20:14:45,61.0
2022-08-16 20:15:45,60.0
2022-08-16 20:16:45,57.0
2022-08-16 20:17:44,56.0
2022-08-16 20:18:45,58.0
2022-08-16 20:19:45,55.0
2022-08-16 20:20:44,62.0
2022-08-16 20:21:45,69.0
2022-08-16 20:22:44,78.0
2022-08-16 20:23:45,42.0
2022-08-16 20:24:46,49.0
2022-08-16 20:25:45,57.0
2022-08-16 20:26:45,57.0
2022-08-16 20:27:45,54.0
2022-08-16 20:28:45,60.0
2022-08-16 20:29:45,67.0
2022-08-16 20:30:45,55.0
2022-08-16 20:31:45,68.0
2022-08-16 20:32:45,63.0
2022-08-16 20:33:45,73.0
2022-08-16 20:34:45,54.0
2022-08-16 20:35:45,58.0
2022-08-16 20:36:45,42.0
2022-08-16 20:37:44,56.0
2022-08-16 20:38:44,46.0
2022-08-16 20:39:45,57.0
2022-08-16 20:40:45,44.0
2022-08-16 20:41:45,63.0
2022-08-16 20:42:44,61.0
2022-08-16 20:43:44,65.0
2022-08-16 20:44:44,51.0
2022-08-16 20:45:45,49.0
2022-08-16 20:46:45,56.0
2022-08-16 20:47:45,64.0
2022-08-16 20:48:45,62.0
2022-08-16 20:49:45,54.0
2022-08-16 20:50:45,65.0
2022-08-16 20:51:45,57.0
2022-08-16 20:52:45,50.0
2022-08-16 20:53:44,57.0
2022-08-16 20:54:45,52.0
2022-08-16 20:55:45,58.0
2022-08-16 20:56:45,53.0
2022-08-16 20:57:44,63.0
2022-08-16 20:58:45,53.0
2022-08-16 20:59:45,57.0
2022-08-16 21:00:45,47.0
2022-08-16 21:01:46,57.0
2022-08-16 21:02:45,52.0
2022-08-16 21:03:44,72.0
2022-08-16 21:04:45,73.0
2022-08-16 21:05:45,60.0
2022-08-16 21:06:45,66.0
2022-08-16 21:07:45,71.0
2022-08-16 21:08:45,58.0
2022-08-16 21:09:45,75.0
2022-08-16 21:10:44,78.0
2022-08-16 21:11:44,75.0
2022-08-16 21:12:45,69.0
2022-08-16 21:13:45,71.0
2022-08-16 21:14:45,68.0
2022-08-16 21:15:45,65.0
2022-08-16 21:16:44,57.0
2022-08-16 21:17:45,63.0
2022-08-16 21:18:45,56.0
2022-08-16 21:19:45,55.0
2022-08-16 21:20:45,62.0
2022-08-16 21:21:45,48.0
2022-08-16 21:22:45,66.0
2022-08-16 21:23:45,51.0
2022-08-16 21:24:45,62.0
2022-08-16 21:25:45,58.0
2022-08-16 21:26:45,55.0
2022-08-16 21:27:45,47.0
2022-08-16 21:28:45,72.0
2022-08-16 21:29:45,65.0
2022-08-16 21:30:45,51.0
2022-08-16 21:31:46,66.0
2022-08-16 21:32:45,63.0
2022-08-16 21:33:45,84.0
2022-08-16 21:34:44,61.0
2022-08-16 21:35:44,61.0
2022-08-16 21:36:44,54.0
2022-08-16 21:37:45,65.0
2022-08-16 21:38:45,49.0
2022-08-16 21:39:44,57.0
2022-08-16 21:40:45,53.0
2022-08-16 21:41:45,46.0
2022-08-16 21:42:44,56.0
2022-08-16 21:43:46,65.0
2022-08-16 21:44:45,61.0
2022-08-16 21:45:45,66.0
2022-08-16 21:46:46,63.0
2022-08-16 21:47:45,65.0
2022-08-16 21:48:44,59.0
2022-08-16 21:49:44,49.0
2022-08-16 21:50:45,60.0
2022-08-16 21:51:44,48.0
2022-08-16 21:52:45,57.0
2022-08-16 21:53:45,68.0
2022-08-16 21:54:44,61.0
2022-08-16 21:55:45,57.0
2022-08-16 21:56:45,71.0
2022-08-16 21:57:45,52.0
2022-08-16 21:58:45,77.0
2022-08-16 21:59:45,61.0
2022-08-16 22:00:45,51.0
2022-08-16 22:01:44,62.0
2022-08-16 22:02:45,70.0
2022-08-16 22:03:45,68.0
2022-08-16 22:04:44,58.0
2022-08-16 22:05:44,63.0
2022-08-16 22:06:45,66.0
2022-08-16 22:07:45,66.0
2022-08-16 22:08:44,47.0
2022-08-16 22:09:45,71.0
2022-08-16 22:10:45,42.0
2022-08-16 22:11:45,47.0
2022-08-16 22:12:45,51.0
2022-08-16 22:13:45,61.0
2022-08-16 22:14:44,48.0
2022-08-16 22:15:45,63.0
2022-08-16 22:16:45,82.0
2022-08-16 22:17:45,60.0
2022-08-16 22:18:45,65.0
2022-08-16 22:19:44,60.0
2022-08-16 22:20:45,77.0
2022-08-16 22:21:45,58.0
2022-08-16 22:22:45,58.0
2022-08-16 22:23:45,79.0
2022-08-16 22:24:45,67.0
2022-08-16 22:25:45,69.0
2022-08-16 22:26:45,53.0
2022-08-16 22:27:44,66.0
2022-08-16 22:28:45,65.0
2022-08-16 22:29:45,67.0
2022-08-16 22:30:46,58.0
2022-08-16 22:31:45,64.0
2022-08-16 22:32:45,62.0
